course_prefix,course_number,course_title,course_desc,num_units,dept_name,inst_ipeds,metadata
AERS,260,Aircraft Systems &amp; Instruments,"This course is a comprehensive study of aircraft systems and components at the technical level. Areas of study include aircraft electrical, hydraulic, fuel, propeller and auxiliary systems including theory of operation, calculations, and related Federal Aviation Regulations.",3,Aeronautical Sciences,141565,"concurrent_prerequisites: PHYS 151; course_name: Aircraft Systems & Instruments; course_number: AERS 260; prerequisites: AERS 251, PHYS 151"
AERS,301,Aviation Laws and Regulations,"Survey of national and international laws and regulations regarding aircraft operation and ownership, contracts, liability and enforcement. Course activities include case reading, argument, and legal research.",3,Aeronautical Sciences,141565,course_name: Aviation Laws and Regulations; course_number: AERS 301; prerequisites: AERS 101
AERS,310,Instrument Basic,"Flight course on basic Instrument flight maneuvers including Instrument turns, stalls, unusual attitude recoveries. Performs basic Instrument flight patterns. Uses VOR and GPS navigation.",3,Aeronautical Sciences,141565,course_name: Instrument Basic; course_number: AERS 310; grading_basis: CR/NC; location: offsite at flight provider; prerequisites: Approval of AERS Program
AERS,311,Instrument Advanced,"Advanced Instrument flight. Perform VOR and localized approaches, GPS approaches, circling approach, DME Arc approach and missed approach procedures. Lost comms procedures, engine failure in IMC and partial panel covered.",3,Aeronautical Sciences,141565,course_number: AERS 311; course_title: Instrument Advanced; grading_option: CR/NC only; location: offsite at flight provider; prerequisites: Approval of AERS Program
AERS,340,Advanced Simulated Maneuvers,"Instruction on Steep turns, Chandelles, Lazy Eights and Eights on Pylons covered. Review of FAA Guidelines.",1,Aeronautical Sciences,141565,Prerequisites: AERS 221 or Instructor's Consent
AERS,352,UAS Mission Plans &amp; Simulation,"Students gain experience in planning and execution of UAS missions. Computer simulation is leveraged to provide real-time mission experience. Students will practice the roles of pilot in command, payload operator, and mission commander.",3,Aeronautical Sciences,141565,Prerequisites: AERS 152
AERS,354,UAS Robotics,"The core technologies of unmanned aircraft systems are examined. Students become familiar with UAS at the component level. Working in teams students will build a UAS, choose and retrofit a payload, and program the control software.",3,Aeronautical Sciences,141565,course_name: UAS Robotics; course_number: AERS 354
AERS,355,Domestic &amp; International Nav,"Domestic and International navigation, planning, procedures, and techniques. Provides basic understanding of IFR domestic and international flights and gives students a fundamental knowledge of international contingency planning and emergency procedures.",3,Aeronautical Sciences,141565,Prerequisites: AERS 251 and MATH 140 or Instructor's Consent
AERS,370,Prep for Single/Multi Eng Flt,Pre-departure orientation course for students continuing on to flight school. Review concepts and simulation maneuvers taught in previous courses as well as discuss common issues encountered by students attending flight school and how to mitigate them.,1,Aeronautical Sciences,141565,course_name: Prep for Single/Multi Eng Flt; course_number: AERS 370; prerequisites: AERS 260
AERS,387,Crew Resource Management,"History and development of current industry CRM training programs is reviewed. Students learn to recognize crew errors, demonstrate the ability to mitigate the error consequences, and to function as an effective member of a professional flight crew.",3,Aeronautical Sciences,141565,course_name: Crew Resource Management; course_number: AERS 387; prerequisites: AERS 251
AERS,388,Crew Resource Mgt &amp; Crew Ops,"Concepts in Crew Resource Management relating to responsibility and authority of the Pilot in Command, crew member roles, conflict management, flight operation procedures, in-flight hazards and emergency procedures.",2,Aeronautical Sciences,141565,course_name: Crew Resource Mgt & Crew Ops; course_number: AERS 388; grading: CR/NC only; location: offsite at flight provider; prerequisites: Approval of AERS Program
AERS,420,Commercial Cert Multi-Engine,Flight course covering multi-engine aerodynamics and maneuvering with one engine inoperative. FAA Commercial Pilot Airplane exam and FAA Commercial Multi-Engine checkride.,5,Aeronautical Sciences,141565,course_name: Commercial Cert Multi-Engine; course_number: AERS 420; grading_basis: CR/NC only; location: offsite at flight provider; prerequisites: Approval of AERS Program
AERS,421,Commercial Single Eng Add-on,"Advanced knowledge of single-engine systems and characteristics, aerodynamics. Engine failure operations and procedures. Commercial single-engine checkride.",2,Aeronautical Sciences,141565,course_name: Commercial Single Eng Add-on; course_number: AERS 421; grading_basis: CR/NC only; location: offsite at flight provider; prerequisites: Approval of AERS Program
AERS,452,UAS Flight,"This course will guide new pilots to safely operate rotor-wing and fixed-wing unmanned aircraft systems (UAS). This course includes essentials of risk mitigation and accident prevention, teamwork and Crew Resource Management (CRM), and focuses on data recovery.",3,Aeronautical Sciences,141565,course_name: UAS Flight; course_number: AERS 452; prerequisites: AERS 354
